con_id,key,value
con_0,rows,0
con_0,cols,0
con_1,rows,0
con_1,cols,1
con_2,rows,0
con_2,cols,2
con_3,rows,0
con_3,cols,3
con_4,rows,0
con_4,cols,4
con_5,rows,0
con_5,cols,5
con_6,rows,1
con_6,cols,0
con_7,rows,1
con_7,cols,1
con_8,rows,1
con_8,cols,2
con_9,rows,1
con_9,cols,3
con_10,rows,1
con_10,cols,4
con_11,rows,1
con_11,cols,5
con_12,rows,2
con_12,cols,0
con_13,rows,2
con_13,cols,1
con_14,rows,2
con_14,cols,2
con_15,rows,2
con_15,cols,3
con_16,rows,2
con_16,cols,4
con_17,rows,2
con_17,cols,5
con_18,rows,3
con_18,cols,0
con_19,rows,3
con_19,cols,1
con_20,rows,3
con_20,cols,2
con_21,rows,3
con_21,cols,3
con_22,rows,3
con_22,cols,4
con_23,rows,3
con_23,cols,5
con_24,rows,4
con_24,cols,0
con_25,rows,4
con_25,cols,1
con_26,rows,4
con_26,cols,2
con_27,rows,4
con_27,cols,3
con_28,rows,4
con_28,cols,4
con_29,rows,4
con_29,cols,5
con_30,rows,5
con_30,cols,0
con_31,rows,5
con_31,cols,1
con_32,rows,5
con_32,cols,2
con_33,rows,5
con_33,cols,3
con_34,rows,5
con_34,cols,4
con_35,rows,5
con_35,cols,5
con_36,rows,0
con_36,cols,0
con_37,rows,0
con_37,cols,1
con_38,rows,0
con_38,cols,2
con_39,rows,0
con_39,cols,3
con_40,rows,0
con_40,cols,4
con_41,rows,0
con_41,cols,5
con_42,rows,1
con_42,cols,0
con_43,rows,1
con_43,cols,1
con_44,rows,1
con_44,cols,2
con_45,rows,1
con_45,cols,3
con_46,rows,1
con_46,cols,4
con_47,rows,1
con_47,cols,5
con_48,rows,2
con_48,cols,0
con_49,rows,2
con_49,cols,1
con_50,rows,2
con_50,cols,2
con_51,rows,2
con_51,cols,3
con_52,rows,2
con_52,cols,4
con_53,rows,2
con_53,cols,5
con_54,rows,3
con_54,cols,0
con_55,rows,3
con_55,cols,1
con_56,rows,3
con_56,cols,2
con_57,rows,3
con_57,cols,3
con_58,rows,3
con_58,cols,4
con_59,rows,3
con_59,cols,5
con_60,rows,4
con_60,cols,0
con_61,rows,4
con_61,cols,1
con_62,rows,4
con_62,cols,2
con_63,rows,4
con_63,cols,3
con_64,rows,4
con_64,cols,4
con_65,rows,4
con_65,cols,5
con_66,rows,5
con_66,cols,0
con_67,rows,5
con_67,cols,1
con_68,rows,5
con_68,cols,2
con_69,rows,5
con_69,cols,3
con_70,rows,5
con_70,cols,4
con_71,rows,5
con_71,cols,5
con_6372,permutation_id,0
con_6373,permutation_id,1
con_6374,permutation_id,2
con_6375,permutation_id,3
con_6376,permutation_id,4
con_6377,permutation_id,5
con_6378,permutation_id,6
con_6379,permutation_id,7
con_6380,permutation_id,8
con_6381,permutation_id,9
con_6382,permutation_id,10
con_6383,permutation_id,11
con_6384,permutation_id,12
con_6385,permutation_id,13
con_6386,permutation_id,14
con_6387,permutation_id,15
con_6388,permutation_id,16
con_6389,permutation_id,17
con_6390,permutation_id,18
con_6391,permutation_id,19
con_6392,permutation_id,20
con_6393,permutation_id,21
con_6394,permutation_id,22
con_6395,permutation_id,23
con_6396,permutation_id,24
con_6397,permutation_id,25
con_6398,permutation_id,26
con_6399,permutation_id,27
con_6400,permutation_id,28
con_6401,permutation_id,29
con_6402,permutation_id,30
con_6403,permutation_id,31
con_6404,permutation_id,32
con_6405,permutation_id,33
con_6406,permutation_id,34
con_6407,permutation_id,35
con_6408,permutation_id,36
con_6409,permutation_id,37
con_6410,permutation_id,38
con_6411,permutation_id,39
con_6412,permutation_id,40
con_6413,permutation_id,41
con_6414,permutation_id,42
con_6415,permutation_id,43
con_6416,permutation_id,44
con_6417,permutation_id,45
con_6418,permutation_id,46
con_6419,permutation_id,47
con_6420,permutation_id,48
con_6421,permutation_id,49
con_6422,permutation_id,50
con_6423,permutation_id,51
con_6424,permutation_id,52
con_6425,permutation_id,53
con_6426,permutation_id,54
con_6427,permutation_id,55
con_6428,permutation_id,56
con_6429,permutation_id,57
con_6430,permutation_id,58
con_6431,permutation_id,59
con_6432,permutation_id,60
con_6433,permutation_id,61
con_6434,permutation_id,62
con_6435,permutation_id,63
con_6436,permutation_id,64
con_6437,permutation_id,65
con_6438,permutation_id,66
con_6439,permutation_id,67
con_6440,permutation_id,68
con_6441,permutation_id,69
con_6442,permutation_id,70
con_6443,permutation_id,71
con_6444,permutation_id,72
