con_id,type,grain_id,expr,call_id,lit_index
con_1,add_all_different,grain_0,"var_1, 0",call_0,37
con_6,add_all_different,grain_0,"var_6, 1",call_0,42
con_29,add_all_different,grain_0,"var_29, 4",call_0,65
con_32,add_all_different,grain_0,"var_32, 5",call_0,68
con_33,add_all_different,grain_0,"var_33, 5",call_0,69
con_34,add_all_different,grain_0,"var_34, 5",call_0,70
con_35,add_all_different,grain_0,"var_35, 5",call_0,71
con_37,add_all_different,grain_0,"var_1, 1",call_1,73
con_65,add_all_different,grain_0,"var_29, 5",call_1,101
con_68,add_all_different,grain_0,"var_32, 2",call_1,104
con_69,add_all_different,grain_0,"var_33, 3",call_1,105
con_70,add_all_different,grain_0,"var_34, 4",call_1,106
con_107,add,grain_1,(-var_0 - 6 * var_1 + var_71) == 0,call_2,2663
con_316,add,grain_1,(-6 * var_6 - var_35 + var_280) == 0,call_2,2872
con_1087,add,grain_1,(-var_0 - 6 * var_29 + var_1051) == 0,call_2,3643
con_1121,add,grain_1,(-6 * var_29 - var_35 + var_1085) == 0,call_2,3677
con_1226,add,grain_1,(-6 * var_32 - var_35 + var_1190) == 0,call_2,3782
con_1261,add,grain_1,(-6 * var_33 - var_35 + var_1225) == 0,call_2,3817
con_2452,add,grain_1,(-6 * var_0 - var_32 + var_2416) == 0,call_3,5008
con_2591,add,grain_1,(-6 * var_34 - var_35 + var_2555) == 0,call_3,5147
